Period,Weighted average of eight capital cities
2026-Q1,101.7
2025-Q4,100.32
2025-Q3,99.73
2025-Q2,98.43
2025-Q1,97.7
2024-Q4,96.81
2024-Q3,96.62
2024-Q2,96.41
2024-Q1,95.41
2023-Q4,94.53
2023-Q3,93.94
2023-Q2,92.87
2023-Q1,92.08
2022-Q4,90.85
2022-Q3,89.2
2022-Q2,87.59
2022-Q1,86.05
2021-Q4,84.23
2021-Q3,83.17
2021-Q2,82.47
2021-Q1,81.87
2020-Q4,81.4
2020-Q3,80.67
2020-Q2,79.44
2020-Q1,81.0
2019-Q4,80.7
2019-Q3,80.15
2019-Q2,79.7
2019-Q1,79.23
2018-Q4,79.24
2018-Q3,78.83
2018-Q2,78.49
2018-Q1,78.21
2017-Q4,77.87
2017-Q3,77.35
2017-Q2,76.88
2017-Q1,76.73
2016-Q4,76.38
2016-Q3,75.98
2016-Q2,75.45
2016-Q1,75.12
2015-Q4,75.27
2015-Q3,74.98
2015-Q2,74.69
2015-Q1,74.16
2014-Q4,74.02
2014-Q3,73.88
2014-Q2,73.57
2014-Q1,73.2
2013-Q4,72.77
2013-Q3,72.25
2013-Q2,71.38
2013-Q1,71.11
2012-Q4,70.87
2012-Q3,70.69
2012-Q2,69.74
2012-Q1,69.38
2011-Q4,69.34
2011-Q3,69.34
2011-Q2,68.93
2011-Q1,68.3
2010-Q4,67.26
2010-Q3,67.0
2010-Q2,66.52
2010-Q1,66.12
2009-Q4,65.51
2009-Q3,65.16
2009-Q2,64.55
2009-Q1,64.23
2008-Q4,64.16
2008-Q3,64.37
2008-Q2,63.63
2008-Q1,62.72
2007-Q4,61.89
2007-Q3,61.32
2007-Q2,60.9
2007-Q1,60.16
2006-Q4,60.11
2006-Q3,60.18
2006-Q2,59.65
2006-Q1,58.72
2005-Q4,58.22
2005-Q3,57.92
2005-Q2,57.35
2005-Q1,57.01
2004-Q4,56.63
2004-Q3,56.2
2004-Q2,55.97
2004-Q1,55.71
2003-Q4,55.22
2003-Q3,54.93
2003-Q2,54.62
2003-Q1,54.62
2002-Q4,53.92
2002-Q3,53.56
2002-Q2,53.2
2002-Q1,52.82
2001-Q4,52.35
2001-Q3,51.87
2001-Q2,51.73
2001-Q1,51.3
2000-Q4,50.76
2000-Q3,50.59
2000-Q2,48.77
2000-Q1,48.4
1999-Q4,47.97
1999-Q3,47.72
1999-Q2,47.29
1999-Q1,47.08
1998-Q4,47.11
1998-Q3,46.91
1998-Q2,46.78
1998-Q1,46.51
1997-Q4,46.39
1997-Q3,46.28
1997-Q2,46.47
1997-Q1,46.58
1996-Q4,46.51
1996-Q3,46.43
1996-Q2,46.31
1996-Q1,46.0
1995-Q4,45.81
1995-Q3,45.46
1995-Q2,44.92
1995-Q1,44.34
1994-Q4,43.61
1994-Q3,43.26
1994-Q2,42.99
1994-Q1,42.68
1993-Q4,42.53
1993-Q3,42.45
1993-Q2,42.25
1993-Q1,42.1
1992-Q4,41.71
1992-Q3,41.52
1992-Q2,41.48
1992-Q1,41.6
1991-Q4,41.6
1991-Q3,41.21
1991-Q2,40.98
1991-Q1,40.9
1990-Q4,40.98
1990-Q3,39.94
1990-Q2,39.63
1990-Q1,39.01
1989-Q4,38.35
1989-Q3,37.65
1989-Q2,36.8
1989-Q1,35.91
1988-Q4,35.57
1988-Q3,34.87
1988-Q2,34.21
1988-Q1,33.63
1987-Q4,33.05
1987-Q3,32.47
1987-Q2,31.93
1987-Q1,31.47
1986-Q4,30.85
1986-Q3,30.0
1986-Q2,29.23
1986-Q1,28.76
1985-Q4,28.11
1985-Q3,27.56
1985-Q2,26.95
1985-Q1,26.33
1984-Q4,25.98
1984-Q3,25.59
1984-Q2,25.28
1984-Q1,25.21
1983-Q4,25.32
1983-Q3,24.74
1983-Q2,24.32
1983-Q1,23.81
1982-Q4,23.31
1982-Q3,22.65
1982-Q2,21.88
1982-Q1,21.38
1981-Q4,20.99
1981-Q3,20.14
1981-Q2,19.76
1981-Q1,19.33
1980-Q4,18.87
1980-Q3,18.48
1980-Q2,18.17
1980-Q1,17.67
1979-Q4,17.28
1979-Q3,16.78
1979-Q2,16.39
1979-Q1,15.97
1978-Q4,15.7
1978-Q3,15.35
1978-Q2,15.08
1978-Q1,14.77
1977-Q4,14.57
1977-Q3,14.23
1977-Q2,13.96
1977-Q1,13.65
1976-Q4,13.34
1976-Q3,12.6
1976-Q2,12.29
1976-Q1,11.98
1975-Q4,11.68
1975-Q3,11.06
1975-Q2,10.98
1975-Q1,10.59
1974-Q4,10.21
1974-Q3,9.86
1974-Q2,9.39
1974-Q1,9.01
1973-Q4,8.78
1973-Q3,8.47
1973-Q2,8.2
1973-Q1,7.93
1972-Q4,7.77
1972-Q3,7.69
1972-Q2,7.58
1972-Q1,7.5
1971-Q4,7.42
1971-Q3,7.27
1971-Q2,7.11
1971-Q1,7.0
1970-Q4,6.92
1970-Q3,6.8
1970-Q2,6.77
1970-Q1,6.69
1969-Q4,6.61
1969-Q3,6.57
1969-Q2,6.53
1969-Q1,6.49
1968-Q4,6.42
1968-Q3,6.38
1968-Q2,6.34
1968-Q1,6.3
1967-Q4,6.26
1967-Q3,6.26
1967-Q2,6.15
1967-Q1,6.11
1966-Q4,6.07
1966-Q3,5.99
1966-Q2,5.99
1966-Q1,5.95
1965-Q4,5.91
1965-Q3,5.84
1965-Q2,5.8
1965-Q1,5.72
1964-Q4,5.68
1964-Q3,5.64
1964-Q2,5.57
1964-Q1,5.53
1963-Q4,5.49
1963-Q3,5.49
1963-Q2,5.45
1963-Q1,5.45
1962-Q4,5.45
1962-Q3,5.45
1962-Q2,5.45
1962-Q1,5.45
1961-Q4,5.45
1961-Q3,5.45
1961-Q2,5.49
1961-Q1,5.45
1960-Q4,5.41
1960-Q3,5.37
1960-Q2,5.3
1960-Q1,5.22
1959-Q4,5.18
1959-Q3,5.14
1959-Q2,5.1
1959-Q1,5.1
1958-Q4,5.06
1958-Q3,5.03
1958-Q2,5.03
1958-Q1,5.03
1957-Q4,4.99
1957-Q3,4.99
1957-Q2,4.99
1957-Q1,4.95
1956-Q4,4.95
1956-Q3,4.95
1956-Q2,4.83
1956-Q1,4.68
1955-Q4,4.64
1955-Q3,4.6
1955-Q2,4.56
1955-Q1,4.52
1954-Q4,4.48
1954-Q3,4.48
1954-Q2,4.48
1954-Q1,4.48
